id,smiles,reachability_score,best_reaction,reachable_via,bb1_smiles,bb2_smiles,amide_coupling_match,suzuki_match,buchwald_match,urea_match,thiourea_match,n_alkyl_match,o_alkyl_match
Z795991852_analog_0008,O=C(Nc1cccc(-c2cccc(C3Cc4ccccc4O3)c2)c1)C1Cc2ccccc2O1,0.85,amide_coupling,"amide_coupling,suzuki_miyaura,o_alkylation",O=C(O)C1Cc2ccccc2O1,[H]Nc1cccc(-c2cccc(C3Cc4ccccc4O3)c2)c1,1,1,0,0,0,0,1
Z795991852_analog_0002,O=C(Nc1cccc(C2Cc3ccccc3O2)c1)C1Cc2ccccc2O1,1.0,amide_coupling,"amide_coupling,o_alkylation",O=C(O)C1Cc2ccccc2O1,[H]Nc1cccc(C2Cc3ccccc3O2)c1,1,0,0,0,0,0,1
Z795991852_analog_0007,O=C(Nc1cccc(NC2Cc3ccccc3O2)c1)C1Cc2ccccc2O1,1.0,amide_coupling,"amide_coupling,buchwald_hartwig,n_alkylation,o_alkylation",O=C(O)C1Cc2ccccc2O1,[H]Nc1cccc(NC2Cc3ccccc3O2)c1,1,0,1,0,0,1,1
Z795991852_analog_0004,O=C(Nc1cccc(OC2Cc3ccccc3O2)c1)C1Cc2ccccc2O1,1.0,amide_coupling,"amide_coupling,o_alkylation",O=C(O)C1Cc2ccccc2O1,[H]Nc1cccc(OC2Cc3ccccc3O2)c1,1,0,0,0,0,0,1
Z795991852_analog_0077,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNCC4Cc5ccccc5O4)c3)nnc12,0.85,suzuki_miyaura,"suzuki_miyaura,n_alkylation,o_alkylation",Cn1c(=O)c2ccccc2n2c(Br)nnc12,OB(O)c1cccc(CNCC2Cc3ccccc3O2)c1,0,1,0,0,0,1,1
Z795991852_analog_0095,Cn1c(=O)c2ccccc2n2c(-c3cccc(C4Cc5ccccc5O4)c3)nnc12,1.0,suzuki_miyaura,"suzuki_miyaura,o_alkylation",Cn1c(=O)c2ccccc2n2c(Br)nnc12,OB(O)c1cccc(C2Cc3ccccc3O2)c1,0,1,0,0,0,0,1
Z795991852_analog_0086,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.5,o_alkylation,o_alkylation,cccccCC(Br)C1=Cc=c-c(Oc2=n-n=c3-n(C)-c(=O)-c4=c-c=c-c=c-4-n-2-3)=C1,[H]Oc1ccccc1C,0,0,0,0,0,0,1
Z795991852_analog_0064,Cn1c(=O)c2ccccc2n2c(NCc3cccc(C4Cc5ccccc5O4)c3)nnc12,1.0,buchwald_hartwig,"buchwald_hartwig,n_alkylation,o_alkylation",Cn1c(=O)c2ccccc2n2c(Br)nnc12,[H]NCc1cccc(C2Cc3ccccc3O2)c1,0,0,1,0,0,1,1
Z795991852_analog_0088,Cn1c(=O)c2ccccc2n2c(Oc3cccc(OCC4Cc5ccccc5O4)c3)nnc12,0.745,o_alkylation,o_alkylation,BrCC1Cc2ccccc2O1,[H]Oc1cccc(Oc2nnc3n(C)c(=O)c4ccccc4n23)c1,0,0,0,0,0,0,1
Z795991852_analog_0089,Cn1c(=O)c2ccccc2n2c(-c3cccc(OCC4Cc5ccccc5O4)c3)nnc12,1.0,suzuki_miyaura,"suzuki_miyaura,o_alkylation",Cn1c(=O)c2ccccc2n2c(Br)nnc12,OB(O)c1cccc(OCC2Cc3ccccc3O2)c1,0,1,0,0,0,0,1
Z795991852_analog_0053,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNC4Cc5ccccc5O4)c3)nnc12,1.0,suzuki_miyaura,"suzuki_miyaura,n_alkylation,o_alkylation",Cn1c(=O)c2ccccc2n2c(Br)nnc12,OB(O)c1cccc(CNC2Cc3ccccc3O2)c1,0,1,0,0,0,1,1
